"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8",":0",":1",":2"
-0.1354,-0.14526,0,0.023356,-0.0016421,0,-0.0016421,-0.006996,0,0,0,0,233.6,-12.631,0,-12.631,0.11974,0,0,0,53.935,15.073,10.822,0
-0.13309,-0.14525,0,0.023369,-0.0016414,0,-0.0016414,-0.0069943,0,0,0,0,233.74,-12.626,0,-12.626,0.17956,0,0,0,53.982,15.173,10.817,0
-0.13078,-0.1452,0,0.023126,-0.0016343,0,-0.0016343,-0.0068793,0,0,0,0,231.46,-12.571,0,-12.571,0.6443,0,0,0,53.562,15.272,10.811,0
-0.12845,-0.1451,0,0.023117,-0.0017729,0,-0.0017729,-0.0068512,0,0,0,0,231.44,-13.638,0,-13.638,0.92182,0,0,0,53.623,15.371,10.805,0
-0.12614,-0.14495,0,0.023401,-0.0018221,0,-0.0018221,-0.0069962,0,0,0,0,234.09,-14.016,0,-14.016,0.26309,0,0,0,54.08,15.471,10.799,0
-0.12381,-0.14476,0,0.023419,-0.0018289,0,-0.0018289,-0.0070085,0,0,0,0,234.24,-14.068,0,-14.068,0.18803,0,0,0,54.099,15.57,10.793,0
-0.12147,-0.14451,0,0.023449,-0.001805,0,-0.001805,-0.0070127,0,0,0,0,234.56,-13.884,0,-13.884,0.24257,0,0,0,54.186,15.669,10.787,0
-0.11913,-0.14421,0,0.023516,-0.0018828,0,-0.0018828,-0.007024,0,0,0,0,235.26,-14.483,0,-14.483,0.33909,0,0,0,54.37,15.769,10.78,0
-0.11678,-0.14384,0,0.023,-0.0019553,0,-0.0019553,-0.0068124,0,0,0,0,230.28,-15.04,0,-15.04,0.96109,0,0,0,53.364,15.868,10.774,0
-0.11443,-0.1434,0,0.023501,-0.0019917,0,-0.0019917,-0.0070224,0,0,0,0,235.1,-15.321,0,-15.321,0.30543,0,0,0,54.324,15.967,10.767,0
-0.11207,-0.1429,0,0.023547,-0.0019979,0,-0.0019979,-0.0070344,0,0,0,0,235.57,-15.368,0,-15.368,0.32595,0,0,0,54.436,16.067,10.76,0
-0.10969,-0.14232,0,0.023547,-0.0019979,0,-0.0019979,-0.0070344,0,0,0,0,235.57,-15.368,0,-15.368,0.32595,0,0,0,54.436,16.166,10.753,0
-0.10732,-0.14166,0,0.023528,-0.0019888,0,-0.0019888,-0.0070261,0,0,0,0,235.38,-15.299,0,-15.299,0.35417,0,0,0,54.401,16.265,10.746,0
-0.10493,-0.14092,0,0.023071,-0.0018571,0,-0.0018571,-0.006833,0,0,0,0,231,-14.285,0,-14.285,0.97134,0,0,0,53.533,16.364,10.738,0
-0.10252,-0.14008,0,0.022986,-0.0020577,0,-0.0020577,-0.0068148,0,0,0,0,230.12,-15.828,0,-15.828,0.88964,0,0,0,53.311,16.463,10.73,0
-0.1001,-0.13914,0,0.023039,-0.0020188,0,-0.0020188,-0.0068075,0,0,0,0,230.73,-15.529,0,-15.529,1.1436,0,0,0,53.509,16.563,10.723,0
-0.097661,-0.1381,0,0.023799,-0.0021427,0,-0.0021427,-0.0071284,0,0,0,0,238.03,-16.483,0,-16.483,0.12321,0,0,0,54.957,16.662,10.714,0
-0.095223,-0.13694,0,0.023741,-0.0023287,0,-0.0023287,-0.0070547,0,0,0,0,237.63,-17.913,0,-17.913,0.74245,0,0,0,55.009,16.761,10.706,0
-0.092763,-0.13567,0,0.023804,-0.0022938,0,-0.0022938,-0.0070875,0,0,0,0,238.22,-17.644,0,-17.644,0.59079,0,0,0,55.11,16.86,10.698,0
-0.090285,-0.13427,0,0.023804,-0.0022938,0,-0.0022938,-0.0070875,0,0,0,0,238.22,-17.644,0,-17.644,0.59079,0,0,0,55.11,16.959,10.689,0
-0.08779,-0.13273,0,0.02385,-0.0022319,0,-0.0022319,-0.0071166,0,0,0,0,238.63,-17.168,0,-17.168,0.42266,0,0,0,55.165,17.058,10.68,0
